Easting (m)	Northing (m)	Ground Surface (relative to TBM)	Bottom of Gravel Layer Depth (below ground surface)	Height (m)  (relative to TBM)	Height (m) AOD	Point	Feature							
416017.6	92814.3	0.05					7mE at 3m along path							
416018.4	92814.8	0.05					8mE at 3m along path							
416019.4	92815.3	0.02					9mE at 3m along path							
416020.3	92815.8	0.01					10mE at 3m along path							
416021.1	92816.3	0.01					11mE at 3m along path							
416022.0	92816.7	-0.01					12mE at 3m along path							
416022.9	92817.2	-0.04					13mE at 3m along path							
416023.8	92817.7	-0.04					14mE at 3m along path							
416024.6	92818.2	-0.05					15mE at 3m along path							
416025.6	92818.7	-0.06					16mE at 3m along path							
416026.4	92819.2	-0.07					17mE at 3m along path							
416027.1	92819.6	-0.06					18mE at 3m along path							
416028.0	92820.0	-0.11					19mE at 3m along path							
416028.8	92820.5	-0.07					20mE at 3m along path							
416029.7	92821.0	-0.06					21mE at 3m along path							
416030.6	92821.5	-0.05					22mE at 3m along path							
416031.5	92821.9	-0.05					23mE at 3m along path							
416032.3	92822.4	-0.05					24mE at 3m along path							
416032.8	92822.7	-0.18					24.4mE at 3m along path							
416011.8	92812.3	0.20					1mE at 2m along path							
416012.7	92812.7	0.23					2mE at 2m along path							
416013.5	92813.2	0.25					3mE at 2m along path							
416014.5	92813.7	0.21					4mE at 2m along path							
416015.3	92814.2	0.17					5mE at 2m along path							
416016.3	92814.7	0.75					6mE at 2m along path							
416017.1	92815.1	0.07					7mE at 2m along path							
416018.0	92815.6	0.05					8mE at 2m along path							
416019.0	92816.2	0.04					9mE at 2m along path							
416019.8	92816.7	0.02					10mE at 2m along path							
416020.7	92817.1	0.02					11mE at 2m along path							
416021.6	92817.6	0.00					12mE at 2m along path							
416022.4	92818.1	-0.01					13mE at 2m along path							
416023.3	92818.6	-0.05					14mE at 2m along path							
416024.1	92819.0	-0.06					15mE at 2m along path							
416025.1	92819.5	-0.05					16mE at 2m along path							
416025.9	92820.0	-0.08					17mE at 2m along path							
416026.7	92820.4	-0.07					18mE at 2m along path							
416027.5	92820.9	-0.07					19mE at 2m along path							
416028.4	92821.3	-0.06					20mE at 2m along path							
416029.3	92821.8	-0.03					21mE at 2m along path							
416030.1	92822.3	-0.01					22mE at 2m along path							
416031.0	92822.8	0.01					23mE at 2m along path							
416031.9	92823.3	0.06					24mE at 2m along path							
416032.9	92823.8	-0.04					25mE at 2m along path							
416014.9	92815.1	0.47					5mE at 1m along path							
416015.8	92815.6	0.44					6mE at 1m along path							
416016.6	92816.0	0.42					7mE at 1m along path							
416017.5	92816.5	0.32					8mE at 1m along path							
